Question_ID,Vendor,Source Website,Question URL,Source URL,Question,Official Answer,Official Answer Summary,Official Documentation URL(s),Knowledge Asset Category,Technology Domain,Cloud Platform,Presales Category,Business Capability,Question Intent,Question Type,Question Complexity,Question Length,Number of Technologies Mentioned,Document Type,Publication Date,Tags,Accepted Answer Available?,Accepted Answer URL,Answer Confidence,Estimated RFP Relevance (1-5),Public Knowledge Only?,Enterprise Knowledge Required,Notes,Repository_Label,Predicted Repository
EPK-0267,AWS,aws.amazon.com,https://aws.amazon.com/cloudfront/faqs/,https://aws.amazon.com/cloudfront/faqs/,Who should use CloudFront origin mutual TLS authentication?,"CloudFront origin mutual TLS authentication is designed for organizations that need strong, certificate-based authentication for their origin infrastructure while maintaining global performance and scalability. Origin mTLS gives you cryptographic verification of CloudFront's identity, eliminating the operational overhead of managing custom security controls. For hybrid and multi-cloud environments, you can use origin mTLS to secure connections between CloudFront and origins hosted outside AWS or public origins on AWS. This is particularly valuable for media companies, retailers, and enterprises operating distributed infrastructure who need consistent security controls across AWS, on-premises data centers, and third-party providers. Origin mTLS replaces complex IP allowlists and custom header solutions with standardized certificate-based authentication. For B2B API security, you can secure your backend APIs and micro-services architectures where application servers need protection from direct access attempts. Examples include SaaS platforms serving multiple business units, payment processing systems, and enterprise applications with strict authentication requirements for accessing proprietary content. Origin mTLS ensures that only your authorized CloudFront distributions can establish connections to your APIs, preventing man-in -the-middle attacks and unauthorized access attempts.","CloudFront origin mutual TLS authentication is designed for organizations that need strong, certificate-based authentication for their origin infrastructure while maintaining global performance and scalability. Origin mTLS gives you cryptographic verification of CloudFront's identity, eliminating the operational overhead of managing custom security controls.",https://aws.amazon.com/cloudfront/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Evaluate options / fit,Best Practice,High,8,3,FAQ,,"architecture, security, governance, identity, ai, data",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0228,AWS,aws.amazon.com,https://aws.amazon.com/bedrock/faqs/,https://aws.amazon.com/bedrock/faqs/,What security and compliance standards does Amazon Bedrock support?,"Amazon Bedrock offers several capabilities to support security and privacy requirements. Amazon Bedrock is in scope for common compliance standards such as Fedramp Moderate, Service and Organization Control (SOC), International Organization for Standardization (ISO), Health Insurance Portability and Accountability Act (HIPAA) eligibility, and customers can use Bedrock in compliance with the General Data Protection Regulation (GDPR). Amazon Bedrock is included in the scope of the SOC 1, 2, 3 reports, allowing customers to gain insights into our security controls. We demonstrate compliance through extensive third-party audits of our AWS controls. Amazon Bedrock is one of the AWS services under ISO Compliance for the ISO 9001, ISO 27001, ISO 27017, ISO 27018, ISO 27701, ISO 22301, and ISO 20000 standards. Amazon Bedrock is CSA Security Trust Assurance and Risk (STAR) Level 2 certified, which validates the use of best practices and the security posture of AWS cloud offerings. With Amazon Bedrock, your content is not used to improve the base models and is not shared with any model providers. You can use AWS PrivateLink to establish private connectivity from Amazon VPC to Amazon Bedrock, without having to expose your data to internet traffic.",Amazon Bedrock offers several capabilities to support security and privacy requirements.,https://aws.amazon.com/bedrock/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,GenAI / AI,AWS,Solution Architecture,AI-enabled business capability,Request presales guidance,Best Practice,High,9,5,FAQ,,"architecture, security, ai, compliance, data",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0176,AWS,aws.amazon.com,https://aws.amazon.com/directconnect/faqs/,https://aws.amazon.com/directconnect/faqs/,"If I have multiple connections to the same Direct Connect location, will all my connections go down during maintenance?","If you've followed our High Availability and Resilience recommendations, our maintenance scheduling algorithm will detect your redundant setup and schedule maintenance at different times for each connection. If all your connections are on the same AWS logical device, then you will be impacted by the maintenance.","If you've followed our High Availability and Resilience recommendations, our maintenance scheduling algorithm will detect your redundant setup and schedule maintenance at different times for each connection. If all your connections are on the same AWS logical device, then you will be impacted by the maintenance.",https://aws.amazon.com/directconnect/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Operations Guide,Networking,AWS,Resilience / DR,Hybrid connectivity and network foundation,Request presales guidance,Best Practice,Medium,19,2,FAQ,,"networking, ai",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Commercial Model | Pricing Template | SME
EPK-0650,AWS,aws.amazon.com,https://aws.amazon.com/guardduty/faqs/,https://aws.amazon.com/guardduty/faqs/,What are the key benefits of the Extended Threat Detection capabilities?,The key benefits include: Faster threat detection and response with the help of automatically correlated disparate threat signals and fewer security alerts you need to manually analyze Improved visibility into attack sequences that span multiple resources and accounts Streamline response with prescriptive remediation recommendations based on AWS best practices and MITRE ATT&CK® tactic and technique mappings,The key benefits include: Faster threat detection and response with the help of automatically correlated disparate threat signals and fewer security alerts you need to manually analyze Improved visibility into attack sequences that span multiple resources and accounts Streamline response with prescriptive remediation recommendations based on AWS best practices and MITRE ATT&CK® tactic and technique mappings,https://aws.amazon.com/guardduty/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Security & Compliance,"Risk, compliance and identity control",Understand capability / terminology,Best Practice,High,11,1,FAQ,,"security, governance, compliance",,,High,5,Yes,Public Documentation,"The question asks for a documented fact, service capability, availability, or definition that can be answered using official public documentation.",0,Public Documentation
EPK-0807,AWS,aws.amazon.com,https://aws.amazon.com/security-hub/faqs/,https://aws.amazon.com/security-hub/faqs/,What are the key benefits of Security Hub?,"Unified security operations: Gain broader visibility across your cloud environment through centralized management in a unified cloud security solution. Confident prioritization: Make informed decisions about your critical security issues through automated correlation and enhanced risk context. Actionable security insights: Gain actionable insights through near real- time risk analytics, including threat trends and exposure summaries, to surface security risks specific to your environment. Streamlined response at scale: Reduce response times with automated workflows and native ticketing system integration to help protect your cloud environment. Continuous security monitoring: Detect deviations from security best practices with automated security checks against industry standards and AWS best practices.",Unified security operations: Gain broader visibility across your cloud environment through centralized management in a unified cloud security solution. Confident prioritization: Make informed decisions about your critical security issues through automated correlation and enhanced risk context.,https://aws.amazon.com/security-hub/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Analytics / Data Platform,AWS,Security & Compliance,Enterprise data and analytics,Understand capability / terminology,Best Practice,High,8,2,FAQ,,"security, analytics, ai, monitoring, compliance, data",,,High,5,Partially,Public Documentation | Governance Framework | Risk Register | SME,"Public guidance covers product capabilities, but enterprise response requires controls mapping, data classification, risk acceptance and governance patterns.",3,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0787,AWS,aws.amazon.com,https://aws.amazon.com/s3/faqs/,https://aws.amazon.com/s3/faqs/,What does it cost to use Amazon S3 Event Notifications?,"There are no additional charges for using Amazon S3 for event notifications. You pay only for use of Amazon SNS or Amazon SQS to deliver event notifications, or for the cost of running an AWS Lambda function. Visit the Amazon SNS , Amazon SQS , or AWS Lambda pricing pages to view the pricing details for these services.","There are no additional charges for using Amazon S3 for event notifications. You pay only for use of Amazon SNS or Amazon SQS to deliver event notifications, or for the cost of running an AWS Lambda function.",https://aws.amazon.com/s3/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Pricing Guidance,DevOps / Platform Engineering,AWS,Cost Optimization,Digital platform delivery,Estimate commercial impact,Commercial / Pricing,Medium,10,3,FAQ,,"cost, ai, devops",,,High,4,Partially,Public Documentation | Commercial Model | Pricing Template | SME,"Public documentation explains pricing constructs, but an RFP answer needs sizing, discounts, contractual assumptions and client-specific consumption estimates.",2,Public Documentation | Commercial Model | Pricing Template | SME
EPK-0754,AWS,aws.amazon.com,https://aws.amazon.com/audit-manager/faqs/,https://aws.amazon.com/audit-manager/faqs/,What is the pricing structure of AWS Audit Manager?,"AWS Audit Manager is priced based on the number of resource assessments executed per account per region. When you define and launch an assessment based on a framework, Audit Manager will execute a resource assessment for each individual resource, such as your Amazon EC2 instances, Amazon RDS instances, Amazon S3 buckets, or Amazon VPC subnets. A resource assessment is a process that collects, stores, and manages evidence, which you can use to assess risk and compliance with industry standards and regulations. For more information, see AWS Audit Manager pricing .","AWS Audit Manager is priced based on the number of resource assessments executed per account per region. When you define and launch an assessment based on a framework, Audit Manager will execute a resource assessment for each individual resource, such as your Amazon EC2 instances, Amazon RDS instances, Amazon S3 buckets, or Amazon VPC subnets.",https://aws.amazon.com/audit-manager/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Governance Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Understand capability / terminology,Commercial / Pricing,High,9,7,FAQ,,"architecture, security, governance, compliance",,,High,5,Partially,Public Documentation | Commercial Model | Pricing Template | SME,"Public documentation explains pricing constructs, but an RFP answer needs sizing, discounts, contractual assumptions and client-specific consumption estimates.",2,Public Documentation | Governance Framework | Risk Register | SME
EPK-0621,AWS,aws.amazon.com,https://aws.amazon.com/waf/faqs/,https://aws.amazon.com/waf/faqs/,I am an AWS Shield Advanced customer; will my price increase with this feature?,"AWS Shield Advanced customers can enable this feature for enhanced DDoS protection at no additional cost. However, AWS Shield Advanced customers will now be limited to 50B AWS WAF requests per month, above which there will be a charge per million requests. See the AWS Shield Pricing page for more information.","AWS Shield Advanced customers can enable this feature for enhanced DDoS protection at no additional cost. However, AWS Shield Advanced customers will now be limited to 50B AWS WAF requests per month, above which there will be a charge per million requests. See the AWS Shield Pricing page for more information.",https://aws.amazon.com/waf/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Security & Compliance,"Risk, compliance and identity control",Request presales guidance,Commercial / Pricing,High,14,3,FAQ,,"security, governance, cost, compliance",,,High,5,Partially,Public Documentation | Commercial Model | Pricing Template | SME,"Public documentation explains pricing constructs, but an RFP answer needs sizing, discounts, contractual assumptions and client-specific consumption estimates.",2,Public Documentation
EPK-0716,AWS,aws.amazon.com,https://aws.amazon.com/redshift/faqs/,https://aws.amazon.com/redshift/faqs/,How does Redshift Multi-AZ compare to the existing Redshift Relocation feature?,"Redshift Relocation is enabled by default on all new RA3 clusters and serverless endpoints, which allows a data warehouse to be re-started in another AZ in the event of a large-scale outage, without any data loss or additional cost. While using Relocate is free, the limitations are that it is a best-effort approach subject to resource availability in the AZ being recovered in and Recovery Time Objective (RTO) can be impacted by other issues related to starting up a new cluster. This can result in recovery times between 10 and 60 minutes. Redshift Multi-AZ supports high availability requirements by delivering an RTO measured in tens of seconds and offers guaranteed continued operation since it will not be subject to capacity limitations or other potential issues creating a new cluster.","Redshift Relocation is enabled by default on all new RA3 clusters and serverless endpoints, which allows a data warehouse to be re-started in another AZ in the event of a large-scale outage, without any data loss or additional cost.",https://aws.amazon.com/redshift/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Pricing Guidance,Analytics / Data Platform,AWS,Cost Optimization,Enterprise data and analytics,Determine implementation approach,Commercial / Pricing,High,11,1,FAQ,,"cost, analytics, ai, data, serverless",,,High,4,Partially,Public Documentation | Commercial Model | Pricing Template | SME,"Public documentation explains pricing constructs, but an RFP answer needs sizing, discounts, contractual assumptions and client-specific consumption estimates.",2,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0745,AWS,aws.amazon.com,https://aws.amazon.com/guardduty/faqs/,https://aws.amazon.com/guardduty/faqs/,Will using GuardDuty EKS Protection impact the performance or cost of running containers on Amazon EKS?,"No, GuardDuty EKS Protection is designed to not have any performance, availability, or cost implications to Amazon EKS workload deployments.","No, GuardDuty EKS Protection is designed to not have any performance, availability, or cost implications to Amazon EKS workload deployments.",https://aws.amazon.com/guardduty/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Estimate commercial impact,Commercial / Pricing,High,16,2,FAQ,,"architecture, security, governance, cost, ai, containers",,,High,5,Partially,Public Documentation | Commercial Model | Pricing Template | SME,"Public documentation explains pricing constructs, but an RFP answer needs sizing, discounts, contractual assumptions and client-specific consumption estimates.",2,Public Documentation | Governance Framework | Risk Register | SME
EPK-0738,AWS,aws.amazon.com,https://aws.amazon.com/cloudwatch/faqs/,https://aws.amazon.com/cloudwatch/faqs/,How do I get started with Amazon CloudWatch Application Signals?,"You can turn on Application Signals in the AWS Management Console for CloudWatch or when enabling CloudWatch on AWS resources, such as Amazon EKS clusters. Application instrumentation is included in the Amazon CloudWatch Agent. Application services, their APIs and dependencies are discovered and visualized in a summary view and on an application map. Application Map automatically discovers your monitored and un-monitored applicaitons into groups based on configurations and their relationships across accounts and regions. To reflect business impact and importance, in a few clicks, you can create service level objectives (SLOs) on standard application metrics, real-user or synthetic monitors. Automatic operational audits, and a history of changes assists with easy troubleshooting at no additional cost. The “Enable more APM” view in console presents a view on monitored and un-monitored resources allowing customers to gradually add application visibility. You can use CloudWatch settings to increase trace sampling on critical services and capture more examples of critical transactions such as payment orders. To add external availability monitoring or UI workflows you can add synthetic canaries, and to add client visibility enable RUM telemetry on their web applications. To get started on Application Signals with complete visibility into application transaction spans, see documentation .","You can turn on Application Signals in the AWS Management Console for CloudWatch or when enabling CloudWatch on AWS resources, such as Amazon EKS clusters. Application instrumentation is included in the Amazon CloudWatch Agent. Application services, their APIs and dependencies are discovered and visualized in a summary view and on an application map.",https://aws.amazon.com/cloudwatch/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Operations Guide,Security / Governance,AWS,Security & Compliance,"Risk, compliance and identity control",Determine implementation approach,Commercial / Pricing,High,10,3,FAQ,,"security, governance, cost, ai, monitoring, compliance",,,High,5,Partially,Public Documentation | Commercial Model | Pricing Template | SME,"Public documentation explains pricing constructs, but an RFP answer needs sizing, discounts, contractual assumptions and client-specific consumption estimates.",2,Public Documentation | Commercial Model | Pricing Template | SME
EPK-0249,AWS,aws.amazon.com,https://aws.amazon.com/lambda/faqs/,https://aws.amazon.com/lambda/faqs/,Q: How does suspend and resume work for Lambda MicroVMs?,"When a MicroVM is suspended, its full memory and disk state is preserved for up to 8 hours and you are no longer charged for compute usage. Suspended MicroVMs can be resumed automatically or programmatically with near-instant speed through snapshotting. Use suspend and resume to retain session context across interactions, while reducing costs during idle periods. Some applications may need to integrate with service-provided hooks when resuming from snapshots, such as to re-establish network connections or refresh cached values. For more information, visit the Lambda MicroVMs developer guide .","When a MicroVM is suspended, its full memory and disk state is preserved for up to 8 hours and you are no longer charged for compute usage. Suspended MicroVMs can be resumed automatically or programmatically with near-instant speed through snapshotting.",https://aws.amazon.com/lambda/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Pricing Guidance,Networking,AWS,Solution Architecture,Hybrid connectivity and network foundation,Request presales guidance,Commercial / Pricing,Low,10,1,FAQ,,"architecture, networking, cost, ai",,,High,5,Partially,Public Documentation | Commercial Model | Pricing Template | SME,"Public documentation explains pricing constructs, but an RFP answer needs sizing, discounts, contractual assumptions and client-specific consumption estimates.",2,Public Documentation | Governance Framework | Risk Register | SME
EPK-0118,AWS,aws.amazon.com,https://aws.amazon.com/shield/faqs/,https://aws.amazon.com/shield/faqs/,How am I charged for AWS Shield network security director?,"During the preview period, AWS Shield network security director will be available at no additional cost.","During the preview period, AWS Shield network security director will be available at no additional cost.",https://aws.amazon.com/shield/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Estimate commercial impact,Commercial / Pricing,High,10,2,FAQ,,"architecture, security, governance, cost, ai",,,High,5,Partially,Public Documentation | Commercial Model | Pricing Template | SME,"Public documentation explains pricing constructs, but an RFP answer needs sizing, discounts, contractual assumptions and client-specific consumption estimates.",2,Public Documentation | Governance Framework | Risk Register | SME
EPK-0715,AWS,aws.amazon.com,https://aws.amazon.com/redshift/faqs/,https://aws.amazon.com/redshift/faqs/,How do I determine the right reservation size for my workload?,"You should analyze your historical RPU consumption patterns over recent months to identify your baseline capacity needs. The reservation should cover your consistent, predictable usage, while allowing on-demand billing to handle periodic spikes. AWS Cost Explorer provides reservation purchase recommendations based on your actual usage patterns, helping you identify the optimal reservation size to maximize savings without over-committing.","You should analyze your historical RPU consumption patterns over recent months to identify your baseline capacity needs. The reservation should cover your consistent, predictable usage, while allowing on-demand billing to handle periodic spikes.",https://aws.amazon.com/redshift/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Pricing Guidance,Cost Optimization,AWS,Solution Architecture,Financial governance / FinOps,Determine implementation approach,Commercial / Pricing,Medium,11,2,FAQ,,"architecture, cost",,,High,5,Partially,Public Documentation | Commercial Model | Pricing Template | SME,"Public documentation explains pricing constructs, but an RFP answer needs sizing, discounts, contractual assumptions and client-specific consumption estimates.",2,Public Documentation | Governance Framework | Risk Register | SME
EPK-0474,AWS,aws.amazon.com,https://aws.amazon.com/guardduty/faqs/,https://aws.amazon.com/guardduty/faqs/,How much does GuardDuty cost?,"GuardDuty is a pay-as-you-go service, and you only pay for the usage you incur. GuardDuty prices are based on the volume of analyzed service logs, virtual CPUs (vCPUs) or Aurora Serverless v2 instance Aurora capacity units (ACUs) for Amazon RDS event analysis, the number and size of Amazon Elastic Kubernetes Service (Amazon EKS) or Amazon Elastic Container Service (Amazon ECS) workloads being monitored at runtime, and the volume of data scanned for malware. Analyzed service logs are filtered for cost optimization and directly integrated with GuardDuty, which means you don’t have to activate or pay for them separately. If EKS Runtime Monitoring is enabled for your account, you will not be charged for analysis of VPC Flow Logs from instances where the GuardDuty agent is deployed and active. The runtime security agent provides us with similar (and more contextual) network telemetry data. Hence, to avoid double charging customers, we will not charge for VPC Flow Logs from Amazon Elastic Compute Cloud (Amazon EC2) instances where the agent is installed. See Amazon GuardDuty pricing for additional details and pricing examples.","GuardDuty is a pay-as-you-go service, and you only pay for the usage you incur.",https://aws.amazon.com/guardduty/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Estimate commercial impact,Commercial / Pricing,High,5,7,FAQ,,"architecture, security, governance, cost, ai, monitoring, data, serverless, containers",,,High,5,Partially,Public Documentation | Commercial Model | Pricing Template | SME,"Public documentation explains pricing constructs, but an RFP answer needs sizing, discounts, contractual assumptions and client-specific consumption estimates.",2,Public Documentation | Governance Framework | Risk Register | SME
EPK-0655,AWS,aws.amazon.com,https://aws.amazon.com/backup/faqs/,https://aws.amazon.com/backup/faqs/,Are there any prerequisites to creating backups of S3 buckets?,"Yes, turning on S3 Versioning is a prerequisite to creating backups of S3 buckets and objects. Set a lifecycle expiration period for your versions as well—if you don’t, your S3 costs might increase since AWS Backup backs up and stores all unexpired versions of your S3 data. See the technical documentation for more information.","Yes, turning on S3 Versioning is a prerequisite to creating backups of S3 buckets and objects. Set a lifecycle expiration period for your versions as well—if you don’t, your S3 costs might increase since AWS Backup backs up and stores all unexpired versions of your S3 data. See the technical documentation for more information.",https://aws.amazon.com/backup/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Operations Guide,Resilience / DR,AWS,Cost Optimization,Business continuity and resilience,Request presales guidance,Commercial / Pricing,High,10,3,FAQ,,"backup, cost, data",,,High,4,Partially,Public Documentation | Commercial Model | Pricing Template | SME,"Public documentation explains pricing constructs, but an RFP answer needs sizing, discounts, contractual assumptions and client-specific consumption estimates.",2,Public Documentation | Governance Framework | Risk Register | SME
EPK-0426,AWS,aws.amazon.com,https://aws.amazon.com/backup/faqs/,https://aws.amazon.com/backup/faqs/,What is AWS Backup?,"AWS Backup is a fully managed service that centralizes and automates data protection across AWS services like Amazon Simple Storage Service (S3), Amazon FSx, Amazon Elastic Compute Cloud (EC2), and Amazon Relational Database Service (RDS), and hybrid workloads like VMware on premises, VMware Cloud on AWS, and VMware Cloud on AWS Outposts. AWS Backup offers a cost-effective, fully managed, policy-based service that further simplifies data protection at scale. Using the AWS Backup Audit Manager, you can audit and report on the compliance of your data protection policies to help meet your business and regulatory needs. Together with AWS Organizations, use AWS Backup to centrally deploy data protection policies to configure, manage, and govern your backup activities across your AWS accounts and resources.","AWS Backup is a fully managed service that centralizes and automates data protection across AWS services like Amazon Simple Storage Service (S3), Amazon FSx, Amazon Elastic Compute Cloud (EC2), and Amazon Relational Database Service (RDS), and hybrid workloads like VMware on premises, VMware Cloud on AWS, and VMware Cloud on AWS Outposts.",https://aws.amazon.com/backup/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Governance Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Understand capability / terminology,Commercial / Pricing,High,4,8,FAQ,,"architecture, security, governance, backup, cost, compliance, data",,,High,5,Partially,Public Documentation | Commercial Model | Pricing Template | SME,"Public documentation explains pricing constructs, but an RFP answer needs sizing, discounts, contractual assumptions and client-specific consumption estimates.",2,Public Documentation | Governance Framework | Risk Register | SME
EPK-0268,AWS,aws.amazon.com,https://aws.amazon.com/cloudfront/faqs/,https://aws.amazon.com/cloudfront/faqs/,How does CloudFront Security Savings Bundle work with AWS Organizations/ Consolidated Billing?,CloudFront Security Savings Bundle can be purchased in any account within an AWS Organization/Consolidated Billing family. CloudFront Security Savings Bundle benefits are applied as credits on your bill. The benefits provided by the Savings Bundle is applicable to usage across all accounts within an AWS Organization/consolidated billing family by default (credit sharing is turned on) and is dependent on when the subscribing account joins or leaves an organization. See AWS Credits to learn more how AWS credits apply across single and multiple accounts.,CloudFront Security Savings Bundle can be purchased in any account within an AWS Organization/Consolidated Billing family. CloudFront Security Savings Bundle benefits are applied as credits on your bill.,https://aws.amazon.com/cloudfront/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Security & Compliance,"Risk, compliance and identity control",Determine implementation approach,Commercial / Pricing,High,12,3,FAQ,,"security, governance, compliance",,,High,5,Partially,Public Documentation | Commercial Model | Pricing Template | SME,"Public documentation explains pricing constructs, but an RFP answer needs sizing, discounts, contractual assumptions and client-specific consumption estimates.",2,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0323,AWS,aws.amazon.com,https://aws.amazon.com/application-migration-service/faqs/,https://aws.amazon.com/application-migration-service/faqs/,What is AWS Transform MGN?,"AWS Transform MGN is the recommended service for migrations to AWS. AWS Transform MGN simplifies and expedites your migration to AWS by automatically converting your source servers from physical, virtual, or cloud infrastructure to run natively on AWS. It further simplifies your migration and reduces costs by allowing you to use the same automated process for a wide range of applications, without changes to applications, their architecture, or the migrated servers. You can use AWS Transform MGN to perform non-disruptive tests prior to cutover. After testing, you can use AWS Transform MGN to quickly migrate your applications to the cloud during a short cutover window, typically measured in minutes. You can also use AWS Transform MGN to automate application modernizations on your migrated servers.","AWS Transform MGN is the recommended service for migrations to AWS. AWS Transform MGN simplifies and expedites your migration to AWS by automatically converting your source servers from physical, virtual, or cloud infrastructure to run natively on AWS.",https://aws.amazon.com/application-migration-service/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Migration Guide,Migration / Modernization,AWS,Migration Assessment,Cloud migration and modernization,Understand capability / terminology,Commercial / Pricing,High,5,1,FAQ,,"migration, architecture, cost",,,High,5,Partially,Public Documentation | Commercial Model | Pricing Template | SME,"Public documentation explains pricing constructs, but an RFP answer needs sizing, discounts, contractual assumptions and client-specific consumption estimates.",2,Public Documentation | Architecture Blueprint | Methodology | SME
