Question_ID,Vendor,Source Website,Question URL,Source URL,Question,Official Answer,Official Answer Summary,Official Documentation URL(s),Knowledge Asset Category,Technology Domain,Cloud Platform,Presales Category,Business Capability,Question Intent,Question Type,Question Complexity,Question Length,Number of Technologies Mentioned,Document Type,Publication Date,Tags,Accepted Answer Available?,Accepted Answer URL,Answer Confidence,Estimated RFP Relevance (1-5),Public Knowledge Only?,Enterprise Knowledge Required,Notes,Repository_Label,Knowledge_Gap_Category
EPK-0011,AWS,aws.amazon.com,https://aws.amazon.com/datasync/faqs/,https://aws.amazon.com/datasync/faqs/,How does AWS DataSync access my Amazon FSx for OpenZFS file system?,"When you create a DataSync task to copy to or from your FSx for OpenZFS file system, the DataSync service will create Elastic Network Interfaces (ENIs) in the same VPC and subnet where your file system is located. DataSync uses these ENIs to access your FSx for OpenZFS file system using the OpenZFS protocol as the root user. When you create a DataSync location resource for your FSx for OpenZFS file system, you can specify up to five security groups to apply to the ENIs and configure outbound access from the DataSync service. The security groups must be configured to allow outbound traffic on the network ports required by FSx for OpenZFS . The security groups on your FSx for OpenZFS file system should be configured to allow inbound access from the security groups you assigned to the DataSync location resource for your FSx for OpenZFS file system.","When you create a DataSync task to copy to or from your FSx for OpenZFS file system, the DataSync service will create Elastic Network Interfaces (ENIs) in the same VPC and subnet where your file system is located.",https://aws.amazon.com/datasync/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Migration Guide,Security / Governance,AWS,Migration Assessment,"Risk, compliance and identity control",Determine implementation approach,Best Practice,High,12,3,FAQ,,"migration, security, governance, data",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0012,AWS,aws.amazon.com,https://aws.amazon.com/datasync/faqs/,https://aws.amazon.com/datasync/faqs/,How does AWS DataSync access my Amazon FSx for Netapp ONTAP file system?,"When you create a task, DataSync creates Elastic Network Interfaces (ENIs) in the Preferred Subnet of the same VPC where your Amazon FSx for NetApp ONTAP file system is located. The Preferred Subnet is configured when you create your FSx for ONTAP file system, and DataSync uses the ENIs it creates in that subnet to access your FSx for ONTAP file system. When you create a DataSync Location resource for your FSx for ONTAP file system, you can specify up to 5 security groups to apply to the ENIs to configure outbound access from the DataSync service. You should configure the security groups on your FSx for ONTAP file system to allow inbound access from the security groups you assigned to the DataSync Location resource for your FSx for ONTAP file system .","When you create a task, DataSync creates Elastic Network Interfaces (ENIs) in the Preferred Subnet of the same VPC where your Amazon FSx for NetApp ONTAP file system is located.",https://aws.amazon.com/datasync/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Migration Guide,Security / Governance,AWS,Migration Assessment,"Risk, compliance and identity control",Determine implementation approach,Best Practice,High,13,3,FAQ,,"migration, security, governance, data",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0013,AWS,aws.amazon.com,https://aws.amazon.com/disaster-recovery/faqs/,https://aws.amazon.com/disaster-recovery/faqs/,I am currently using AWS DRS to continuously replicate my on-premises applications to AWS. Can I also use the service to migrate my workloads to AWS?,"Yes, you can more easily migrate your source servers after you have configured AWS DRS. Simply schedule a migration cutover window and initiate a recovery launch, then redirect your users to the launched instances on AWS. After completing your migration, you can continue to use AWS DRS to replicate migrated workloads across AWS Regions or Availability Zones to increase the resilience of your AWS-based applications.","Yes, you can more easily migrate your source servers after you have configured AWS DRS. Simply schedule a migration cutover window and initiate a recovery launch, then redirect your users to the launched instances on AWS.",https://aws.amazon.com/disaster-recovery/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Migration Guide,Migration / Modernization,AWS,Migration Assessment,Cloud migration and modernization,Request presales guidance,Architecture,High,26,1,FAQ,,"migration, ai",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0014,AWS,aws.amazon.com,https://aws.amazon.com/directconnect/faqs/,https://aws.amazon.com/directconnect/faqs/,Why is an AWS Direct Connect gateway necessary?,"An AWS Direct Connect gateway performs several functions: AWS Direct Connect gateway will give you the ability to interface with VPCs in any AWS Region (except the AWS China Region), so you can use your AWS Direct Connect connections to interface with more than one AWS Region. You can share a private virtual interface to interface with up to 20 VPCs to reduce the number of Border Gateway Protocol sessions between your on-premises network and AWS deployments. By attaching transit virtual interface(s) (VIF) to an AWS Direct Connect gateway and associating AWS Transit Gateway(s) with the Direct Connect gateway, you can share transit virtual interface(s) to connect with more than one AWS Transit Gateways (for information on AWS Direct Connect quotas, refer to the table on this page ). This can reduce the number of Border Gateway Protocol sessions between your on-premises network and AWS deployments. Once a transit VIF is connected to an AWS Direct Connect Gateway, that Gateway cannot also host another Private VIF - it is dedicated to the transit VIF. You can associate multiple virtual private gateways (VGWs, associated with a VPC) to an AWS Direct Connect gateway, as long as the IP CIDR blocks of the Amazon VPC associated with the Virtual Private Gateway do not overlap.","An AWS Direct Connect gateway performs several functions: AWS Direct Connect gateway will give you the ability to interface with VPCs in any AWS Region (except the AWS China Region), so you can use your AWS Direct Connect connections to interface with more than one AWS Region.",https://aws.amazon.com/directconnect/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,FAQ,Networking,AWS,Solution Architecture,Hybrid connectivity and network foundation,Assess business rationale,Architecture,High,8,5,FAQ,,"architecture, networking",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0015,AWS,aws.amazon.com,https://aws.amazon.com/glue/faqs/,https://aws.amazon.com/glue/faqs/,When should I use AWS Glue versus AWS Database Migration Service (AWS DMS)?,"AWS DMS helps you migrate databases to AWS more easily and securely. AWS DMS is recommended for use cases that require a database migration from on premises to AWS or database replication between on-premises sources and sources on AWS. Once your data is on AWS, you can use AWS Glue to move, combine, replicate, and transform data from your data source into another database or data warehouse, such as Amazon Redshift .",AWS DMS helps you migrate databases to AWS more easily and securely. AWS DMS is recommended for use cases that require a database migration from on premises to AWS or database replication between on-premises sources and sources on AWS.,https://aws.amazon.com/glue/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Migration Guide,Analytics / Data Platform,AWS,Migration Assessment,Enterprise data and analytics,Determine timing / applicability,Best Practice,High,13,4,FAQ,,"migration, analytics, ai, data",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0016,AWS,aws.amazon.com,https://aws.amazon.com/controltower/faqs/,https://aws.amazon.com/controltower/faqs/,What are the benefits of AWS Control Tower?,"Distributed teams can provision new AWS accounts quickly, while cloud IT has the peace of mind of knowing that all accounts are aligned with centrally established, company-wide policies. AWS Control Tower provides a single location to easily set up your new well-architected multi-account environment and govern your AWS workloads with rules for security, operations, and internal compliance. You can automate the setup of your AWS environment with best-practices blueprints for multi-account structure, identity, access management, and account provisioning workflow. For ongoing governance, you can select and apply prepackaged policies organization-wide or to specific groups of accounts.","Distributed teams can provision new AWS accounts quickly, while cloud IT has the peace of mind of knowing that all accounts are aligned with centrally established, company-wide policies.",https://aws.amazon.com/controltower/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Well Architected,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Understand capability / terminology,Best Practice,High,8,3,FAQ,,"architecture, security, governance, identity, well-architected, compliance",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0017,AWS,aws.amazon.com,https://aws.amazon.com/backup/faqs/,https://aws.amazon.com/backup/faqs/,Can I deploy an AWS Backup gateway on my private non-routable network? Does AWS Backup gateway support AWS PrivateLink?,"Yes. You can deploy a AWS Backup gateway on a private, non-routable network if that network is connected to your Amazon VPC through Direct Connect or VPN. Backup gateway traffic is routed through VPC endpoints powered by AWS PrivateLink, which enables private connectivity between AWS services using elastic network interfaces (ENI) with private IPs in your VPCs.","Yes. You can deploy a AWS Backup gateway on a private, non-routable network if that network is connected to your Amazon VPC through Direct Connect or VPN.",https://aws.amazon.com/backup/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Operations Guide,Networking,AWS,Solution Architecture,Hybrid connectivity and network foundation,Request presales guidance,Architecture,High,19,6,FAQ,,"architecture, networking, backup",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0018,AWS,aws.amazon.com,https://aws.amazon.com/cloudwatch/faqs/,https://aws.amazon.com/cloudwatch/faqs/,How can I send my data to Amazon CloudWatch?,"Amazon CloudWatch provides multiple options for collecting and ingesting your operational, security, and compliance data. You can use CloudWatch Agent to collect metrics and logs from hosts running in AWS, on premise, or across multicloud. With support for OpenTelemetry (OTel) in CloudWatch, you can instrument your applications using any OTel-compatible agent. CloudWatch provides fully-managed log ingestion for a broad range of AWS sources including Amazon VPC Flow Logs, Amazon EKS cluster logs, Amazon Bedrock AgentCore logs, and AWS CloudTrail management and data events. CloudWatch also provides managed collectors for popular third-party data sources. In addition, many AWS services including AWS Lambda are fully integrated with CloudWatch for observability.","Amazon CloudWatch provides multiple options for collecting and ingesting your operational, security, and compliance data. You can use CloudWatch Agent to collect metrics and logs from hosts running in AWS, on premise, or across multicloud. With support for OpenTelemetry (OTel) in CloudWatch, you can instrument your applications using any OTel-compatible agent.",https://aws.amazon.com/cloudwatch/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,GenAI / AI,AWS,Solution Architecture,AI-enabled business capability,Determine implementation approach,Architecture,High,9,8,FAQ,,"architecture, security, ai, compliance, data",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0019,AWS,aws.amazon.com,https://aws.amazon.com/bedrock/faqs/,https://aws.amazon.com/bedrock/faqs/,How does Amazon Bedrock ensure my data used in fine-tuning remains private and confidential?,"When you’re fine-tuning a model, your data is never exposed to the public internet, never leaves the AWS network, is securely transferred through your VPC, and is encrypted in transit and at rest. Amazon Bedrock also enforces the same AWS access controls that you have with any of our other services.","When you’re fine-tuning a model, your data is never exposed to the public internet, never leaves the AWS network, is securely transferred through your VPC, and is encrypted in transit and at rest. Amazon Bedrock also enforces the same AWS access controls that you have with any of our other services.",https://aws.amazon.com/bedrock/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,GenAI / AI,AWS,Solution Architecture,AI-enabled business capability,Determine implementation approach,Architecture,High,14,3,FAQ,,"architecture, ai, data",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0020,AWS,aws.amazon.com,https://aws.amazon.com/ecs/faqs/,https://aws.amazon.com/ecs/faqs/,What networking modes does Amazon ECS Managed Instances support?,Amazon ECS Managed Instances supports two networking modes: aws vpc mode where each task gets its own elastic network interface (ENI) with a private IPv4 address; and host mode where tasks share the network namespace with the host EC2 instance. The awsvpc mode is recommended for most use cases as it provides better security isolation and simplified networking configuration.,Amazon ECS Managed Instances supports two networking modes: aws vpc mode where each task gets its own elastic network interface (ENI) with a private IPv4 address; and host mode where tasks share the network namespace with the host EC2 instance.,https://aws.amazon.com/ecs/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Request presales guidance,Best Practice,High,9,4,FAQ,,"architecture, security, governance, networking",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
